code,speaker,gender,stim,rep,sent,metre_ID,stim_metre,tot_syls,ana_syls,tot_feet,cur_foot,foot_syls,wrd_end_syl,acc_phon,phr_phon,init_phon,fin_phon,v_text,phr_end_t,ana_end_t,foot_start_t,foot_end_t,stress_end_t,wrd_fin_syl_start_t,wrd_end_t,v_onset_t,v_offset_t,s_t,e_t,l_t,h_t,l_syl_start_t,l_syl_end_t,h_syl_start_t,h_syl_end_t,v_grand_mean_t,l_grand_mean_t,h_grand_mean_t,s_grand_mean_t,e_grand_mean_t,v_syl,l_syl,h_syl,s_f0,e_f0,v_onset_f0,l_f0,h_f0,slope_st,utt_mean_f0,utt_med_f0,f0_mean,f0_SD,location
F12_MDQ2_4,F12,F,MDQ2,4,You LIVE in the VALLey,132,MDQ2_132,6,1,2,1,3,1,>H*,% >H* ^[L*H] %,%,%,V,949,100,100,502,328,100,328,177,247,4,892,193,339,100,328,328,436,138,150,264,3,743,2,2,3,89.39,101.46,92.28,92.69,94.32,10.17,93.74,93.81,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MDQ2_4,F12,F,MDQ2,4,You LIVE in the VALLey,132,MDQ2_132,6,1,2,2,2,2,^[L*H],% >H* ^[L*H] %,%,%,V,949,100,502,949,774,774,949,573,721,4,892,588,849,502,774,774,949,460,473,704,3,743,5,5,6,89.39,101.46,90.64,90.64,101.81,51.94,95.57,94.63,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MDQ2_5,F12,F,MDQ2,5,You LIVE in the VALLey,132,MDQ2_132,6,1,2,1,3,1,H*,% H* ^[L*H] %,%,%,V,929,102,102,460,315,102,315,176,238,1,850,208,328,102,315,315,408,139,166,267,0.8,733,2,2,3,88.75,99.73,90.90,91.62,92.95,11.393,92.36,92.38,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MDQ2_5,F12,F,MDQ2,5,You LIVE in the VALLey,132,MDQ2_132,6,1,2,2,2,2,^[L*H],% H* ^[L*H] %,%,%,V,929,102,460,929,724,724,929,523,673,1,850,581,788,460,724,724,929,455,507,685,0.8,733,5,5,6,88.75,99.73,92.06,91.76,100.76,53.384,95.70,94.94,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MDQ3_1,F12,F,MDQ3,1,You've HIDDen the VALuables,133,MDQ3_133,7,1,2,1,3,2,>H*,% >H* ^[L*H] L%,%,L%,V,1258,137,137,512,349,349,445,238,275,5,997,264,372,137,349,349,445,213,234,324,5,883,2,2,3,88.22,80.48,91.73,92.00,94.43,25.515,93.31,93.37,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MDQ3_1,F12,F,MDQ3,1,You've HIDDen the VALuables,133,MDQ3_133,7,1,2,2,3,3,^[L*H],% >H* ^[L*H] L%,%,L%,V,1258,137,512,1258,765,836,1258,577,701,5,997,647,810,512,765,765,836,503,566,713,5,883,5,5,6,88.22,80.48,91.55,89.71,97.06,53.3,92.89,92.28,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MDQ3_2,F12,F,MDQ3,2,You've HIDDen the VALuables,133,MDQ3_133,7,1,2,1,3,2,>H*,% >H* ^[L*H] L%,%,L%,V,1338,143,143,516,337,337,460,233,288,5,1026,268,396,143,337,337,460,211,242,346,5,876,2,2,3,89.02,80.88,91.00,90.64,94.41,34.566,92.74,92.87,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MDQ3_2,F12,F,MDQ3,2,You've HIDDen the VALuables,133,MDQ3_133,7,1,2,2,3,3,^[L*H],% >H* ^[L*H] L%,%,L%,V,1338,143,516,1338,776,848,1338,591,723,5,1026,664,832,516,776,776,848,510,574,722,5,876,5,5,6,89.02,80.88,91.55,90.08,97.50,52.937,93.17,92.49,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MDQ3_3,F12,F,MDQ3,3,You've HIDDen the VALuables,133,MDQ3_133,7,1,2,1,3,2,L*H,% L*H ^[L*H] L%,%,L%,V,1332,116,116,490,332,335,427,214,270,3,989,248,367,116,335,335,427,208,234,334,3,865,2,2,3,89.96,79.17,91.06,91.22,93.78,26.064,92.29,92.16,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MDQ3_3,F12,F,MDQ3,3,You've HIDDen the VALuables,133,MDQ3_133,7,1,2,2,3,3,^[L*H],% L*H ^[L*H] L%,%,L%,V,1332,116,490,1332,741,816,1332,558,682,3,989,616,778,490,741,741,816,506,558,704,3,865,5,5,6,89.96,79.17,91.85,91.20,98.11,47.982,93.91,93.15,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
