code,speaker,gender,stim,rep,sent,metre_ID,stim_metre,tot_syls,ana_syls,tot_feet,cur_foot,foot_syls,wrd_end_syl,acc_phon,phr_phon,init_phon,fin_phon,v_text,phr_end_t,ana_end_t,foot_start_t,foot_end_t,stress_end_t,wrd_fin_syl_start_t,wrd_end_t,v_onset_t,v_offset_t,s_t,e_t,l_t,h_t,l_syl_start_t,l_syl_end_t,h_syl_start_t,h_syl_end_t,v_grand_mean_t,l_grand_mean_t,h_grand_mean_t,s_grand_mean_t,e_grand_mean_t,v_syl,l_syl,h_syl,s_f0,e_f0,v_onset_f0,l_f0,h_f0,slope_st,utt_mean_f0,utt_med_f0,f0_mean,f0_SD,location
F12_MWH1_3,F12,F,MWH1,3,WHO VALued the VASes,0132,MWH1_0132,6,0,3,1,1,1,H*,% H* L*!H L*H %,%,%,V,1404,0,0,203,203,0.007,203,91,203,90,1176,94,161,0,203,0,203,69,72,123,69,985,1,1,1,90.72,90.09,90.72,90.72,91.19,8.371,91.00,91.02,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH1_3,F12,F,MWH1,3,WHO VALued the VASes,0132,MWH1_0132,6,0,3,2,3,2,L*!H,% H* L*!H L*H %,%,%,V,1404,0,203,732,490,490,676,299,439,90,1176,396,578,203,490,490,676,238,322,468,69,985,2,2,3,90.72,90.09,88.47,85.33,87.76,17.05,86.08,85.66,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH1_3,F12,F,MWH1,3,WHO VALued the VASes,0132,MWH1_0132,6,0,3,3,2,2,L*H,% H* L*!H L*H %,%,%,V,1404,0,732,1404,1075,1075,1404,821,974,90,1176,891,1125,732,1075,1075,1404,683,744,944,69,985,5,5,6,90.72,90.09,85.75,84.11,90.94,35.577,87.28,87.31,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH1_4,F12,F,MWH1,4,WHO VALued the VASes,0132,MWH1_0132,6,0,3,1,1,1,H*,% H* L*!H L*H %,%,%,V,1410,0,0,186,186,0.2,186,71,184,68,1161,80,165,0,186,0,186,59,67,137,57,984,1,1,1,89.24,89.63,89.24,89.22,90.63,20.14,89.86,89.79,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH1_4,F12,F,MWH1,4,WHO VALued the VASes,0132,MWH1_0132,6,0,3,2,3,2,L*!H,% H* L*!H L*H %,%,%,V,1410,0,186,709,466,466,624,288,420,68,1161,368,679,186,466,624,709,245,316,583,57,984,2,2,4,89.24,89.63,89.83,86.11,86.04,0.865,85.64,85.60,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH1_4,F12,F,MWH1,4,WHO VALued the VASes,0132,MWH1_0132,6,0,3,3,2,2,L*H,% H* L*!H L*H %,%,%,V,1410,0,709,1410,1054,1054,1410,790,907,68,1161,862,1094,709,1054,1054,1410,676,738,934,57,984,5,5,6,89.24,89.63,85.75,83.63,91.46,41.127,87.34,87.42,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH1_5,F12,F,MWH1,5,WHO VALued the VASes,0132,MWH1_0132,6,0,3,1,1,1,H*,% H* L*!H L*H %,%,%,V,1471,0,0,195,195,-0.02,195,70,189,68,1164,96,169,0,195,0,195,56,76,134,54,968,1,1,1,90.27,89.60,90.27,90.09,90.65,9.402,90.37,90.37,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH1_5,F12,F,MWH1,5,WHO VALued the VASes,0132,MWH1_0132,6,0,3,2,3,2,L*!H,% H* L*!H L*H %,%,%,V,1471,0,195,738,494,494,668,309,451,68,1164,428,561,195,494,494,668,250,348,456,54,968,2,2,3,90.27,89.60,89.02,84.86,87.31,21.585,86.14,86.15,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH1_5,F12,F,MWH1,5,WHO VALued the VASes,0132,MWH1_0132,6,0,3,3,2,2,L*H,% H* L*!H L*H %,%,%,V,1471,0,738,1471,1066,1066,1471,807,947,68,1164,886,1108,738,1066,1066,1471,669,740,931,54,968,5,5,6,90.27,89.60,85.58,83.59,91.01,39.701,87.06,87.16,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH2_1,F12,F,MWH2,1,WHY do you LIVE in the VALLey,0332,MWH2_0332,8,0,3,1,3,1,L*H,% L*H L*!H L*H L%,%,L%,V,1312,0,0,435,214,-0.01,214,65,211,0,1221,98,200,0,214,0,214,46,69,140,0,1001,1,1,1,90.43,90.30,92.00,92.20,95.79,43.288,93.56,93.14,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH2_1,F12,F,MWH2,1,WHY do you LIVE in the VALLey,0332,MWH2_0332,8,0,3,2,3,1,L*!H,% L*H L*!H L*H L%,%,L%,V,1312,0,435,811,678,435,678,511,576,0,1221,544,714,435,678,678,748,380,406,559,0,1001,4,4,5,90.43,90.30,86.04,85.49,91.71,43.33,88.70,88.91,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH2_1,F12,F,MWH2,1,WHY do you LIVE in the VALLey,0332,MWH2_0332,8,0,3,3,2,2,L*H,% L*H L*!H L*H L%,%,L%,V,1312,0,811,1312,1082,1082,1312,894,1029,0,1221,995,1156,811,1082,1082,1312,734,824,954,0,1001,7,7,8,90.43,90.30,88.95,86.50,94.01,55.342,90.37,90.54,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH2_2,F12,F,MWH2,2,WHY do you LIVE in the VALLey,0332,MWH2_0332,8,0,3,1,3,1,L*H,% L*H L*!H L*H L%,%,L%,V,1281,0,0,413,202,0.1,202,55,201,0,1214,104,299,0,202,202,338,41,77,216,0,1013,1,1,2,89.26,85.70,91.41,91.03,94.33,19.044,93.28,93.91,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH2_2,F12,F,MWH2,2,WHY do you LIVE in the VALLey,0332,MWH2_0332,8,0,3,2,3,1,L*!H,% L*H L*!H L*H L%,%,L%,V,1281,0,413,808,653,413,653,482,550,0,1214,523,687,413,653,653,734,376,408,550,0,1013,4,4,5,89.26,85.70,87.53,86.84,91.93,34.063,89.43,89.43,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH2_2,F12,F,MWH2,2,WHY do you LIVE in the VALLey,0332,MWH2_0332,8,0,3,3,2,2,L*H,% L*H L*!H L*H L%,%,L%,V,1281,0,808,1281,1074,1074,1281,887,1019,0,1214,979,1124,808,1074,1074,1281,732,815,941,0,1013,7,7,8,89.26,85.70,88.09,86.34,92.34,51.42,89.16,88.91,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH2_3,F12,F,MWH2,3,WHY do you LIVE in the VALLey,0332,MWH2_0332,8,0,3,1,3,1,L*H,% L*H L*!H L*H L%,%,L%,V,1312,0,0,492,239,-0.2,239,63,230,0,1286,138,320,0,239,239,382,40,87,203,0,1040,1,1,2,88.46,84.86,90.56,90.40,93.52,18.557,92.53,93.16,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH2_3,F12,F,MWH2,3,WHY do you LIVE in the VALLey,0332,MWH2_0332,8,0,3,2,3,1,L*!H,% L*H L*!H L*H L%,%,L%,V,1312,0,492,877,712,492,712,553,620,0,1286,601,757,492,712,712,813,374,415,552,0,1040,4,4,5,88.46,84.86,87.19,86.44,90.77,32.168,88.85,88.93,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH2_3,F12,F,MWH2,3,WHY do you LIVE in the VALLey,0332,MWH2_0332,8,0,3,3,2,2,L*H,% L*H L*!H L*H L%,%,L%,V,1312,0,877,1312,1150,1150,1312,952,1072,0,1286,1043,1198,877,1150,1150,1312,726,807,950,0,1040,7,7,8,88.46,84.86,87.76,86.44,92.68,51.194,89.09,88.65,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH2_4,F12,F,MWH2,4,WHY do you LIVE in the VALLey,0332,MWH2_0332,8,0,3,1,3,1,L*H,% L*H L*!H L*H L%,%,L%,V,1354,0,0,484,255,-0.008,255,72,255,0,1305,155,327,0,255,255,410,42,91,193,0,1025,1,1,2,87.89,84.66,89.77,89.58,93.58,25.987,92.12,92.82,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH2_4,F12,F,MWH2,4,WHY do you LIVE in the VALLey,0332,MWH2_0332,8,0,3,2,3,1,L*!H,% L*H L*!H L*H L%,%,L%,V,1354,0,484,898,729,484,729,562,637,0,1305,605,771,484,729,729,826,382,414,551,0,1025,4,4,5,87.89,84.66,86.69,86.09,91.03,35.097,88.60,88.66,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH2_4,F12,F,MWH2,4,WHY do you LIVE in the VALLey,0332,MWH2_0332,8,0,3,3,2,2,L*H,% L*H L*!H L*H L%,%,L%,V,1354,0,898,1354,1158,1158,1354,961,1098,0,1305,1044,1200,898,1158,1158,1354,718,795,936,0,1025,7,7,8,87.89,84.66,88.28,86.63,92.57,45.893,89.27,89.04,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH2_5,F12,F,MWH2,5,WHY do you LIVE in the VALLey,0332,MWH2_0332,8,0,3,1,3,1,L*H,% L*H L*!H L*H L%,%,L%,V,1276,0,0,449,258,0.04,258,71,256,4,1258,164,345,0,258,258,391,41,95,211,2,1049,1,1,2,87.69,84.40,89.97,89.73,93.50,21.107,92.31,92.90,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH2_5,F12,F,MWH2,5,WHY do you LIVE in the VALLey,0332,MWH2_0332,8,0,3,2,3,1,L*!H,% L*H L*!H L*H L%,%,L%,V,1276,0,449,840,685,449,685,528,593,4,1258,561,719,449,685,685,776,385,411,545,2,1049,4,4,5,87.69,84.40,86.46,85.73,91.43,42.267,88.67,88.86,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH2_5,F12,F,MWH2,5,WHY do you LIVE in the VALLey,0332,MWH2_0332,8,0,3,3,2,2,L*H,% L*H L*!H L*H L%,%,L%,V,1276,0,840,1276,1103,1103,1276,907,1034,4,1258,989,1143,840,1103,1103,1276,721,797,939,2,1049,7,7,8,87.69,84.40,88.23,86.79,92.85,49.728,89.37,88.97,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH3_1,F12,F,MWH3,1,WHERE'VE you HIDDen the VALuables,0233,MWH3_0233,8,0,3,1,2,1,H*,% H* L*!H L*H L%,%,L%,V,1356,0,0,335,251,-0.3,251,79,138,8,1154,88,255,0,251,251,335,61,68,198,6,999,1,1,2,87.16,82.42,88.71,88.84,90.34,9.707,89.86,89.97,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH3_1,F12,F,MWH3,1,WHERE'VE you HIDDen the VALuables,0233,MWH3_0233,8,0,3,2,3,2,L*!H,% H* L*!H L*H L%,%,L%,V,1356,0,335,691,533,533,624,401,453,8,1154,448,588,335,533,533,624,329,368,484,6,999,3,3,4,87.16,82.42,87.44,85.89,88.24,18.92,87.29,87.34,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH3_1,F12,F,MWH3,1,WHERE'VE you HIDDen the VALuables,0233,MWH3_0233,8,0,3,3,3,3,L*H,% H* L*!H L*H L%,%,L%,V,1356,0,691,1356,913,988,1356,749,864,8,1154,833,973,691,913,913,988,620,702,827,6,999,6,6,7,87.16,82.42,86.80,85.06,89.03,35.996,86.72,86.60,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH3_2,F12,F,MWH3,2,WHERE'VE you HIDDen the VALuables,0233,MWH3_0233,8,0,3,1,2,1,H*,% H* L*!H L*H L%,%,L%,V,1513,0,0,354,270,-0.1,270,61,132,12,1206,81,281,0,270,270,354,44,58,204,9,973,1,1,2,87.01,82.06,87.97,88.32,89.72,6.606,89.40,89.57,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH3_2,F12,F,MWH3,2,WHERE'VE you HIDDen the VALuables,0233,MWH3_0233,8,0,3,2,3,2,L*!H,% H* L*!H L*H L%,%,L%,V,1513,0,354,713,571,571,661,424,482,12,1206,477,590,354,571,571,661,327,367,454,9,973,3,3,4,87.01,82.06,87.42,86.21,87.82,17.365,87.00,87.03,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH3_2,F12,F,MWH3,2,WHERE'VE you HIDDen the VALuables,0233,MWH3_0233,8,0,3,3,3,3,L*H,% H* L*!H L*H L%,%,L%,V,1513,0,713,1513,934,1018,1513,777,893,12,1206,860,1004,713,934,934,1018,626,707,829,9,973,6,6,7,87.01,82.06,86.39,84.61,89.14,37.416,86.39,85.94,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH3_3,F12,F,MWH3,3,WHERE have you HIDDen the VALuables,0333,MWH3_0333,9,0,3,1,3,1,L*H,% L*H L*!H L*H L%,%,L%,V,1600,0,0,467,210,0.3,210,79,174,12,1305,107,299,0,210,210,399,62,84,228,9,1149,1,1,2,88.54,83.54,89.02,89.01,91.03,12.154,89.92,90.00,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH3_3,F12,F,MWH3,3,WHERE have you HIDDen the VALuables,0333,MWH3_0333,9,0,3,2,3,2,L*!H,% L*H L*!H L*H L%,%,L%,V,1600,0,467,816,679,679,749,547,600,12,1305,595,755,467,679,749,816,452,494,656,9,1149,4,4,6,88.54,83.54,86.05,85.16,87.71,18.746,86.62,86.69,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH3_3,F12,F,MWH3,3,WHERE have you HIDDen the VALuables,0333,MWH3_0333,9,0,3,3,3,3,L*H,% L*H L*!H L*H L%,%,L%,V,1600,0,816,1600,1061,1132,1600,892,991,12,1305,962,1116,816,1061,1061,1132,772,837,987,9,1149,7,7,8,88.54,83.54,86.28,84.92,88.93,34.177,86.51,86.34,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH3_4,F12,F,MWH3,4,WHERE'VE you HIDDen the VALuables,0233,MWH3_0233,8,0,3,1,2,1,L*H,% L*H L*!H L*H L%,%,L%,V,1501,0,0,354,289,0.2,289,80,136,3,1174,80,176,0,289,0,289,54,54,118,2,953,1,1,1,87.12,83.12,88.77,88.77,89.78,12.566,89.25,89.17,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH3_4,F12,F,MWH3,4,WHERE'VE you HIDDen the VALuables,0233,MWH3_0233,8,0,3,2,3,2,L*!H,% L*H L*!H L*H L%,%,L%,V,1501,0,354,698,572,572,638,433,481,3,1174,481,615,354,572,572,638,333,370,488,2,953,3,3,4,87.12,83.12,87.55,86.28,86.83,5.2,86.49,86.48,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH3_4,F12,F,MWH3,4,WHERE'VE you HIDDen the VALuables,0233,MWH3_0233,8,0,3,3,3,3,L*H,% L*H L*!H L*H L%,%,L%,V,1501,0,698,1501,943,1019,1501,767,889,3,1174,850,1010,698,943,943,1019,624,698,832,2,953,6,6,7,87.12,83.12,85.82,84.28,89.58,40.313,86.70,86.49,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH3_6,F12,F,MWH3,6,WHERE'VE you HIDDen the VALuables,0233,MWH3_0233,8,0,3,1,2,1,>H*,% >H* (*) L*H L%,%,L%,R,1388,0,0,314,242,0.1,242,68,133,0,1105,32,272,0,242,242,314,55,26,227,0,974,1,1,2,85.90,82.35,87.37,86.57,88.36,5.491,87.72,87.68,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH3_6,F12,F,MWH3,6,WHERE'VE you HIDDen the VALuables,0233,MWH3_0233,8,0,3,2,3,2,(*),% >H* (*) L*H L%,%,L%,V,1388,0,314,621,493,493,564,371,427,0,1105,423,512,314,493,493,564,326,374,458,0,974,3,3,4,85.90,82.35,87.47,85.72,86.24,9.131,85.85,85.83,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MWH3_6,F12,F,MWH3,6,WHERE'VE you HIDDen the VALuables,0233,MWH3_0233,8,0,3,3,3,3,L*H,% >H* (*) L*H L%,%,L%,V,1388,0,621,1388,876,930,1388,693,813,0,1105,772,914,621,876,876,930,624,691,822,0,974,6,6,7,85.90,82.35,85.55,84.83,89.19,34.367,86.53,86.29,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MYN1_1,F12,F,MYN1,1,have you VALued the VASes,232,MYN1_232,7,2,2,1,3,2,L*H,% L*H L*H %,%,%,V,1624,340,340,905,637,637,848,426,568,55,1354,521,727,340,637,637,848,320,399,560,36,1085,3,3,4,89.83,94.46,89.90,88.90,92.80,23.252,90.77,90.77,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MYN1_1,F12,F,MYN1,1,have you VALued the VASes,232,MYN1_232,7,2,2,2,2,2,L*H,% L*H L*H %,%,%,V,1624,340,905,1624,1249,1249,1624,988,1122,55,1354,1077,1311,905,1249,1249,1624,781,858,1054,36,1085,6,6,7,89.83,94.46,89.65,87.39,94.17,35.261,90.54,90.59,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MYN1_2,F12,F,MYN1,2,have you VALued the VASes,232,MYN1_232,7,2,2,1,3,2,L*H,% L*H L*H %,%,%,V,1693,338,338,928,623,623,851,434,580,79,1366,505,741,338,623,623,851,332,393,573,50,1070,3,3,4,89.72,94.24,89.45,88.36,92.11,19.146,90.20,90.19,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MYN1_2,F12,F,MYN1,2,have you VALued the VASes,232,MYN1_232,7,2,2,2,2,2,L*H,% L*H L*H %,%,%,V,1693,338,928,1693,1271,1271,1693,1007,1153,79,1366,1101,1333,928,1271,1271,1693,777,860,1049,50,1070,6,6,7,89.72,94.24,88.45,86.34,94.53,42.682,90.54,90.75,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MYN1_3,F12,F,MYN1,3,have you VALued the VASes,232,MYN1_232,7,2,2,1,3,2,L*H,% L*H L*H %,%,%,V,1718,306,306,928,634,634,848,401,552,62,1351,498,716,306,634,634,848,320,393,553,44,1061,3,3,4,89.75,93.65,89.28,88.14,92.66,26.017,90.22,90.07,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MYN1_3,F12,F,MYN1,3,have you VALued the VASes,232,MYN1_232,7,2,2,2,2,2,L*H,% L*H L*H %,%,%,V,1718,306,928,1718,1265,1265,1718,997,1165,62,1351,1088,1322,928,1265,1265,1718,770,851,1043,44,1061,6,6,7,89.75,93.65,88.35,86.16,93.31,37.747,89.40,89.39,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MYN1_4,F12,F,MYN1,4,have you VALued the VASes,232,MYN1_232,7,2,2,1,3,2,L*H,% L*H L*H %,%,%,V,1735,305,305,894,618,618,821,396,541,67,1329,514,696,305,618,618,821,320,414,553,49,1062,3,3,4,89.69,93.36,89.30,88.13,91.94,23.833,89.89,89.67,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MYN1_4,F12,F,MYN1,4,have you VALued the VASes,232,MYN1_232,7,2,2,2,2,2,L*H,% L*H L*H %,%,%,V,1735,305,894,1735,1232,1232,1735,968,1136,67,1329,1063,1311,894,1232,1232,1735,774,858,1052,49,1062,6,6,7,89.69,93.36,87.88,86.28,93.20,32.874,89.76,89.95,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MYN1_5,F12,F,MYN1,5,Have you VALued the VASes,232,MYN1_232,7,2,2,1,3,2,L*H,% L*H L*H %,%,%,V,1583,296,296,840,576,576,764,379,529,55,1269,494,652,296,576,576,764,322,423,556,40,1074,3,3,4,88.77,93.37,89.03,87.77,91.83,30.88,89.69,89.43,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MYN1_5,F12,F,MYN1,5,Have you VALued the VASes,232,MYN1_232,7,2,2,2,2,2,L*H,% L*H L*H %,%,%,V,1583,296,840,1583,1171,1171,1583,913,1039,55,1269,1003,1233,840,1171,1171,1583,774,856,1050,40,1074,6,6,7,88.77,93.37,88.80,87.03,93.69,36.477,90.34,90.53,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MYN2_1,F12,F,MYN2,1,Do you LIVE in the VALLey,232,MYN2_232,7,2,2,1,3,1,(*),% (*) L*H L%,%,L%,V,980,173,173,536,408,173,408,250,309,18,934,300,500,173,408,477,536,208,246,449,13,849,3,3,5,90.94,84.98,89.53,88.91,89.06,-0.586,89.24,89.19,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MYN2_1,F12,F,MYN2,1,Do you LIVE in the VALLey,232,MYN2_232,7,2,2,2,2,2,L*H,% (*) L*H L%,%,L%,V,980,173,536,980,792,792,980,598,728,18,934,679,824,536,792,792,980,539,616,751,13,849,6,6,7,90.94,84.98,89.32,88.70,94.51,48.4,91.35,91.07,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MYN2_2,F12,F,MYN2,2,Do you LIVE in the VALLey,232,MYN2_232,7,2,2,1,3,1,(*),% (*) L*H L%,%,L%,V,983,203,203,568,430,203,430,276,341,17,956,334,443,203,430,430,495,207,253,349,14,863,3,3,4,88.14,83.65,89.02,88.33,88.64,3.43,88.47,88.46,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MYN2_2,F12,F,MYN2,2,Do you LIVE in the VALLey,232,MYN2_232,7,2,2,2,2,2,L*H,% (*) L*H L%,%,L%,V,983,203,568,983,814,814,983,628,750,17,956,693,834,568,814,814,983,539,603,743,14,863,6,6,7,88.14,83.65,88.78,88.10,93.98,48.755,90.77,90.60,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
F12_MYN2_3,F12,F,MYN2,3,Do you LIVE in the VALLey,232,MYN2_232,7,2,2,1,3,1,(*),% (*) L*H L%,%,L%,V,1071,244,244,598,454,244,454,315,373,17,1011,374,453,244,454,244,454,210,260,328,11,843,3,3,3,88.68,84.21,88.18,87.30,87.69,5.475,87.49,87.49,89.54,3.125,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F12/sentence_modes/
