gender,mode,acc_phon,phr_phon,fin_phon,l_grand_mean_t,h_grand_mean_t,l_f0_z,h_f0_z,e_f0_z,f0_exc_z,e_f0_exc_z,lh_slope
F,MDC,L*H,% L*H L*H %,%,99,321,-0.9740840035746232,1.7515638963360152,1.6890080428954428,2.7256478999106384,-0.06255585344057235,33.726
F,MDC,L*H,% L*H L*H %,%,102,308,-1.2734584450402182,1.6130473637176048,1.3672922252010735,2.886505808757823,-0.2457551385165313,36.781
F,MDC,L*H,% (*) L*H %,%,67,246,-1.6398570151921366,1.1260053619302932,0.75067024128686,2.7658623771224295,-0.3753351206434332,38.475
F,MDC,L*H,% (*) L*H %,%,89,248,-1.644325290437894,0.6300268096514731,0.32171581769436947,2.274352100089367,-0.3083109919571036,39.835
F,MDC,L*H,% (*) L*H %,%,82,261,-1.5281501340482582,1.0679177837354783,0.5585344057193923,2.5960679177837367,-0.509383378016086,43.733
F,MDC,L*H,% (*) L*H %,%,94,279,-1.5862377122430729,0.7685433422698833,0.6568364611260049,2.354781054512956,-0.11170688114387839,36.725
F,MDC,L*H,% (*) L*H %,%,75,254,-1.5370866845397666,0.9204647006255595,0.5183199285075946,2.457551385165326,-0.40214477211796495,39.865
F,MDC,L*H,% L*H L*H %,%,50,334,-1.2511170688114375,1.8588025022341361,1.255585344057195,3.1099195710455736,-0.6032171581769412,29.738
F,MDC,L*H,% >H* L*H %,%,57,323,-1.55495978552279,1.0857908847184954,0.8891867739052702,2.6407506702412853,-0.19660411081322515,25.026
F,MDC,L*H,% >H* L*H %,%,97,388,-1.3941018766756053,1.443252904378905,1.3360142984807841,2.8373547810545103,-0.10723860589812095,29.993
F,MDC,L*H,% H* L*H %,%,79,408,-1.3315460232350331,1.0857908847184954,1.0723860589812295,2.4173369079535285,-0.013404825737265869,22.345
F,MDC,L*H,% >H* L*H %,%,87,328,-1.4879356568364603,0.3798033958891842,0.5451295799821264,1.8677390527256446,0.1653261840929422,19.822
F,MDQ,L*^[H],% (*) L*^[H] %,%,53,273,-0.6478999106344964,3.5835567470956193,2.587131367292222,4.231456657730115,-0.9964253798033975,59.614
F,MDQ,L*^[H],% (*) L*^[H L%],%,93,293,-0.33065236818588434,3.6907953529937405,2.453083109919569,4.021447721179625,-1.2377122430741716,61.784
F,MDQ,L*^[H],% (*) L*^[H L%],%,57,276,-0.504915102770335,3.775692582663093,2.6005361930294875,4.280607685433428,-1.1751563896336057,55.56
F,MDQ,L*H,% L*H L*H %,%,67,289,-0.6568364611260049,2.006255585344055,1.8096514745308299,2.6630920464700596,-0.19660411081322504,32.656
F,MDQ,^[L*H],% (*) ^[L*H L%],%,88,276,0.5317247542448604,4.47274352100089,2.3726541554959795,3.9410187667560295,-2.1000893655049104,61.002
F,MDQ,^[L*H],% (*) ^[L*H] %,%,60,265,-0.8713136729222533,3.5120643431635385,2.3726541554959795,4.383378016085792,-1.139410187667559,66.783
F,MDQ,L*H,% (*) L*H %,%,83,227,-1.076854334226987,2.4352100089365516,1.4343163538873966,3.5120643431635385,-1.000893655049155,70.986
F,MDQ,L*H,% (*) L*H %,%,78,223,-0.7015192135835601,2.5513851653261814,1.0723860589812295,3.2529043789097414,-1.478999106344952,61.044
F,MDQ,L*H,% (*) L*H %,%,77,251,-0.8445040214477214,2.752457551385164,2.0956210902591588,3.5969615728328854,-0.6568364611260051,63.209
F,MDQ,L*H,% (*) L*H %,%,52,229,-0.46023235031277976,2.846291331546019,2.109025915996425,3.3065236818587986,-0.7372654155495941,58.686
F,MDQ,L*^[H],% >H* L*^[H] %,%,42,338,-0.8489722966934788,3.3333333333333304,2.0956210902591588,4.182305630026809,-1.2377122430741716,37.716
F,MDQ,^[L*H],% >H* ^[L*H] %,%,47,356,-0.7059874888293112,3.565683646112596,2.171581769436997,4.271671134941907,-1.3941018766755988,36.713
F,MDQ,L*H,% (*) L*H %,%,52,310,-1.1706881143878483,2.430741733690794,1.2868632707774779,3.6014298480786424,-1.1438784629133163,36.025
F,MDQ,^[L*H],% (*) ^[L*H] L%,L%,48,317,-0.522788203753352,2.9892761394101868,0.7059874888293112,3.512064343163539,-2.2832886505808756,35.905
F,MDQ,L*^[H],% (*) L*^[H] %,%,44,349,-0.2502234137622888,4.142091152815012,2.515638963360141,4.3923145665773005,-1.626452189454871,39.057
F,MWH,L*H,% H* (*) L*H %,%,67,324,-1.5862377122430729,2.453083109919569,2.3771224307417307,4.039320822162642,-0.07596067917783822,48.445
F,MWH,L*H,% H* L*!H L*H %,%,72,348,-1.1081322609472761,2.515638963360141,2.497765862377124,3.623771224307417,-0.017873100983016865,38.408
F,MWH,L*H,% H* (*) L*H %,%,106,302,-1.3538873994638074,1.5773011617515644,1.6085790884718474,2.9311885612153716,0.031277926720282956,50.824
F,MWH,L*H,% H* (*) L*H %,%,116,330,-1.438784629133154,1.3449508489722926,1.3315460232350267,2.783735478105447,-0.013404825737265869,42.435
F,MWH,L*H,% H* (*) L*H %,%,79,316,-1.4432529043789115,2.30563002680965,2.350312779267199,3.7488829311885614,0.044682752457549046,46.096
F,MWH,L*H,% >H* L*H L*H %,%,86,249,-1.3583556747095649,1.546023235031275,1.050044682752455,2.90437890974084,-0.49597855227882004,42.406
F,MWH,L*H,% H* L*H L*H %,%,104,258,-1.4119749776586223,0.7640750670241259,0.6032171581769412,2.176050044682748,-0.16085790884718465,39.95
F,MWH,L*H,% >H* L*H L*H %,%,99,283,-0.9964253798033976,0.9874888293118829,0.7640750670241259,1.9839142091152806,-0.223413762287757,32.166
F,MWH,L*H,% >H* L*H L*H %,%,81,248,-1.0902591599642528,1.0142984807864146,0.5495978552278775,2.1045576407506674,-0.4647006255585371,34.741
F,MWH,L*H,% H* L*H L*H %,%,83,241,-1.5862377122430729,0.9025915996425362,0.4334226988382479,2.488829311885609,-0.4691689008042883,45.415
F,MWH,L*H,% H* (*) L*H %,%,91,370,-1.4924039320822178,1.6845397676496854,1.170688114387842,3.176943699731903,-0.5138516532618433,35.295
F,MWH,L*H,% H* (*) L*H %,%,115,358,-1.6309204647006281,1.0991957104557613,0.7104557640750685,2.7301161751563896,-0.38873994638069276,32.993
F,MWH,L*H,% >H* (*) L*H %,%,86,318,-1.6085790884718536,0.822162645218947,0.437890974083999,2.430741733690801,-0.384271671134948,27.796
F,MWH,L*H,% H* (*) L*H %,%,96,353,-1.4968722073279752,0.7640750670241259,0.4557640750670224,2.260947274352101,-0.3083109919571035,23.584
F,MWH,L*H,% (*) (*) L*H %,%,86,312,-1.4119749776586223,0.737265415549594,0.45129579982126494,2.1492403932082165,-0.2859696157283291,25.449
F,MYN,L*H,% L*H L*H %,%,126,320,-1.541554959785524,1.1260053619302932,1.0545129579982124,2.6675603217158175,-0.07149240393208078,38.692
F,MYN,L*H,% L*H L*H %,%,126,296,-1.8588025022341361,0.9696157283288658,0.7462019660411089,2.8284182305630017,-0.2234137622877569,52.468
F,MYN,L*H,% (*) L*H %,%,114,313,-1.6979445933869515,0.9562109025915999,0.822162645218947,2.6541554959785514,-0.1340482573726529,33.758
F,MYN,L*H,% (*) L*H %,%,122,329,-1.6398570151921366,1.0008936550491487,0.8445040214477214,2.6407506702412853,-0.15638963360142732,35.774
F,MYN,L*H,% L*H L*H %,%,144,340,-1.671134941912426,0.3351206434316354,0.20554066130473359,2.0062555853440616,-0.1295799821269018,32.333
F,MYN,L*H,% (*) L*H %,%,104,247,-0.12064343163539332,2.3771224307417307,1.9258266309204657,2.497765862377124,-0.451295799821265,47.855
F,MYN,L*H,% (*) L*H %,%,108,284,-0.20554066130473994,2.1671134941912396,1.3404825737265416,2.3726541554959795,-0.826630920464698,43.735
F,MYN,L*H,% (*) L*H %,%,104,258,-0.3932082216264565,2.082216264521893,1.3672922252010735,2.4754244861483494,-0.7149240393208196,43.8
F,MYN,L*H,% (*) L*H %,%,74,271,-0.5272564789991094,1.8051831992850724,1.8766756032171594,2.3324396782841816,0.071492403932087,28.909
F,MYN,L*H,% (*) L*H %,%,80,251,-0.6702412868632708,1.7917783735478066,1.7426273458445003,2.4620196604110776,-0.04915102770330626,41.289
F,MYN,L*H,% >H* L*H %,%,84,365,-1.0813226094727444,1.3136729222520098,1.018766756032172,2.394995531724754,-0.2949061662198378,23.261
F,MYN,L*H,% >H* L*H %,%,71,363,-0.7953529937444151,1.3896336014298478,1.6175156389633558,2.184986595174263,0.227882037533508,17.484
F,MYN,L*H,% (*) L*H %,%,84,350,-1.2734584450402182,1.0053619302949062,1.0232350312779233,2.2788203753351244,0.017873100983017087,22.168
F,MYN,L*H,% (*) L*H %,%,85,380,-1.0411081322609466,0.9159964253798021,0.719392314566577,1.9571045576407486,-0.19660411081322504,19.797
F,MYN,L*H,% (*) L*H %,%,99,351,-1.1706881143878483,0.7283288650580856,0.7238605898123281,1.8990169794459337,-0.004468275245757436,20.686
F,MDC,L*H,% L*H L*H %,%,87,280,-1.292800000000002,1.1039999999999963,1.0879999999999972,2.396799999999998,-0.015999999999999126,41.59
F,MDC,L*H,% L*H L*H L%,L%,73,254,-1.0496000000000003,1.3503999999999996,-0.06720000000000255,2.4,-1.4176000000000022,43.42
F,MDC,L*H,% >H* L*H L%,L%,66,251,-1.068800000000001,1.0175999999999976,-0.7360000000000037,2.0863999999999985,-1.7536000000000014,35.667
F,MDC,L*H,% >H* L*H L%,L%,59,237,-1.0784000000000014,1.3663999999999987,0.035199999999999815,2.4448,-1.3311999999999988,45.235
F,MDC,L*H,% >H* L*H L%,L%,75,259,-1.0848000000000002,1.215999999999999,0.3519999999999982,2.3007999999999993,-0.8640000000000009,39.814
F,MDC,L*H,% >H* L*H %,%,83,260,-1.225600000000004,0.7167999999999983,0.5791999999999962,1.9424000000000023,-0.13760000000000217,37.141
F,MDC,L*H,% H* L*H %,%,57,237,-1.4784000000000015,0.88,0.5087999999999966,2.3584000000000014,-0.3712000000000034,41.161
F,MDC,L*H,% H* L*H L%,L%,81,225,-1.0496000000000003,1.027199999999998,-0.3840000000000009,2.076799999999998,-1.4111999999999987,49.198
F,MDC,L*H,% >H* L*H L%,L%,61,202,-1.145600000000004,1.2127999999999974,-0.9664000000000033,2.3584000000000014,-2.1792000000000007,54.49
F,MDC,L*H,% >H* L*H %,%,84,230,-1.2224000000000024,0.7327999999999975,-0.45760000000000217,1.9551999999999998,-1.1903999999999997,46.362
F,MDC,L*H,% >H* L*H L%,L%,93,232,-1.168000000000002,0.32,-2.8032000000000017,1.488000000000002,-3.1232000000000015,39.462
F,MDC,L*H,% >H* L*H L%,L%,89,234,-1.0784000000000014,0.37759999999999766,-2.768000000000002,1.455999999999999,-3.1455999999999995,34.605
F,MDC,L*H,% >H* L*H L%,L%,100,226,-0.9760000000000036,0.72,-3.3376000000000023,1.6960000000000037,-4.0576000000000025,48.801
F,MDC,L*H,% >H* L*H L%,L%,90,215,-1.1840000000000008,0.4095999999999958,-2.6848,1.5935999999999966,-3.094399999999996,45.489
F,MDC,L*H,% >H* L*H L%,L%,83,220,-1.0784000000000014,0.38079999999999925,-2.412800000000002,1.4592000000000005,-2.7936000000000014,37.619
F,MDQ,^[L*H],% L*H ^[L*H L%],%,44,258,0.7583999999999969,3.68,2.6623999999999977,2.9216000000000033,-1.0176000000000025,48.273
F,MDQ,^[L*H],% L*H ^[L*H] %,%,69,280,0.1983999999999969,3.2767999999999984,3.1615999999999986,3.0784000000000016,-0.11519999999999975,49.465
F,MDQ,^[L*H],% L*H ^[L*H] %,%,41,268,1.0048000000000001,4.281599999999998,4.191999999999998,3.276799999999998,-0.0895999999999999,49.868
F,MDQ,L*^[H],% L*H L*^[H] %,%,68,281,0.374399999999996,4.211199999999999,4.188799999999997,3.836800000000003,-0.022400000000001974,59.611
F,MDQ,^[L*H],% L*H ^[L*H] %,%,57,271,1.2031999999999972,4.243199999999997,4.255999999999999,3.04,0.012800000000002143,48.854
F,MDQ,^[L*H],% H* ^[L*H] L%,L%,17,194,0.12799999999999728,3.526399999999999,-1.3632000000000017,3.3984000000000014,-4.889600000000001,63.656
F,MDQ,^[L*H],% >H* ^[L*H] %,%,37,232,0.867199999999998,3.2639999999999962,2.969599999999996,2.396799999999998,-0.29440000000000044,41.383
F,MDQ,^[L*H],% >H* ^[L*H] %,%,49,222,0.934399999999996,3.52,3.2735999999999965,2.585600000000004,-0.2464000000000035,45.047
F,MDQ,^[L*H],% >H* ^[L*H] %,%,13,244,0.3519999999999982,3.926399999999999,3.814399999999996,3.5744000000000007,-0.11200000000000276,51.94
F,MDQ,^[L*H],% H* ^[L*H] %,%,52,230,0.7103999999999996,3.5904,3.2607999999999993,2.8800000000000003,-0.32960000000000056,53.384
F,MDQ,^[L*H],% >H* ^[L*H] L%,L%,63,210,0.054399999999996,2.4063999999999988,-2.899200000000001,2.352000000000003,-5.3056,53.3
F,MDQ,^[L*H],% >H* ^[L*H] L%,L%,64,212,0.17279999999999746,2.547199999999998,-2.7712000000000034,2.3744000000000005,-5.318400000000001,52.937
F,MDQ,^[L*H],% L*H ^[L*H] L%,L%,52,198,0.5311999999999989,2.7423999999999977,-3.3184000000000013,2.211199999999999,-6.060799999999999,47.982
F,MDQ,^[L*H],% H* ^[L*H] L%,L%,49,218,0.5567999999999984,3.0655999999999994,-2.972800000000002,2.508800000000001,-6.038400000000001,52.131
F,MDQ,^[L*H],% (*) ^[L*H] L%,L%,76,201,0.12799999999999728,2.0415999999999985,-3.379200000000001,1.9136000000000013,-5.4208,50.757
F,MWH,L*H,% H* L*!H L*H %,%,53,252,-1.7024000000000024,0.6559999999999991,-0.09920000000000073,2.3584000000000014,-0.7551999999999999,38.875
F,MWH,L*H,% H* L*!H L*H %,%,59,264,-1.7312000000000034,0.32959999999999584,0.18559999999999946,2.060799999999999,-0.14399999999999638,33.648
F,MWH,L*H,% H* L*!H L*H %,%,61,261,-1.7376000000000023,0.4479999999999973,0.1759999999999991,2.1855999999999995,-0.2719999999999982,35.577
F,MWH,L*H,% H* L*!H L*H %,%,62,258,-1.8912000000000035,0.614399999999996,0.028799999999996544,2.5055999999999994,-0.5855999999999995,41.127
F,MWH,L*H,% H* L*!H L*H %,%,71,262,-1.9040000000000008,0.47039999999999965,0.01919999999999618,2.3744000000000005,-0.4512000000000035,39.701
F,MWH,L*H,% L*H L*!H L*H L%,L%,90,220,-0.972800000000002,1.4303999999999997,0.24319999999999709,2.403200000000002,-1.1872000000000025,55.342
F,MWH,L*H,% L*H L*!H L*H L%,L%,83,209,-1.024000000000001,0.8959999999999991,-1.228800000000001,1.92,-2.1248,51.42
F,MWH,L*H,% L*H L*!H L*H L%,L%,81,224,-0.9920000000000028,1.0048000000000001,-1.4976000000000023,1.996800000000003,-2.5024000000000024,51.194
F,MWH,L*H,% L*H L*!H L*H L%,L%,77,218,-0.9312000000000035,0.9695999999999958,-1.561600000000003,1.9007999999999994,-2.531199999999999,45.893
F,MWH,L*H,% L*H L*!H L*H L%,L%,76,218,-0.88,1.0591999999999961,-1.6448000000000003,1.939199999999996,-2.703999999999996,49.728
F,MWH,L*H,% H* L*!H L*H L%,L%,82,207,-1.4336000000000013,-0.16320000000000165,-2.2784000000000013,1.2703999999999998,-2.1151999999999997,35.996
F,MWH,L*H,% H* L*!H L*H L%,L%,81,203,-1.5776000000000021,-0.1280000000000018,-2.393600000000001,1.4496000000000002,-2.265599999999999,37.416
F,MWH,L*H,% L*H L*!H L*H L%,L%,65,215,-1.4784000000000015,-0.19519999999999982,-1.92,1.2832000000000017,-1.7248000000000001,34.177
F,MWH,L*H,% L*H L*!H L*H L%,L%,74,208,-1.6832000000000016,0.012799999999997454,-2.0544000000000007,1.695999999999999,-2.067199999999998,40.313
F,MWH,L*H,% >H* (*) L*H L%,L%,67,198,-1.5072000000000025,-0.11200000000000272,-2.3008000000000037,1.3951999999999998,-2.188800000000001,34.367
F,MYN,L*H,% L*H L*H %,%,77,273,-0.6880000000000018,1.4815999999999985,1.574399999999996,2.1696000000000004,0.09279999999999755,35.261
F,MYN,L*H,% L*H L*H %,%,83,272,-1.024000000000001,1.5967999999999984,1.5039999999999965,2.620799999999999,-0.09280000000000199,42.682
F,MYN,L*H,% L*H L*H %,%,81,273,-1.081600000000003,1.2063999999999988,1.3152,2.288000000000002,0.10880000000000112,37.747
F,MYN,L*H,% L*H L*H %,%,84,278,-1.0432000000000017,1.171199999999999,1.2223999999999977,2.2144000000000004,0.0511999999999988,32.874
F,MYN,L*H,% L*H L*H %,%,82,276,-0.8032000000000017,1.3279999999999972,1.2255999999999994,2.131199999999999,-0.10239999999999783,36.477
F,MYN,L*H,% (*) L*H L%,L%,77,212,-0.2688000000000011,1.5903999999999996,-1.4592000000000007,1.8592000000000006,-3.0496000000000003,48.4
F,MYN,L*H,% (*) L*H L%,L%,64,204,-0.4608000000000038,1.4207999999999992,-1.8848000000000003,1.881600000000003,-3.305599999999999,48.755
F,MYN,L*H,% (*) L*H L%,L%,73,208,-0.908800000000001,0.9248000000000002,-1.705600000000004,1.8336000000000012,-2.6304000000000043,45.027
F,MYN,L*H,% (*) L*H L%,L%,73,193,-0.48320000000000163,1.107199999999998,-1.7536000000000014,1.5903999999999996,-2.8607999999999993,47.994
F,MYN,L*H,% (*) L*H L%,L%,72,222,-0.905600000000004,0.8159999999999991,-1.6448000000000003,1.7216000000000031,-2.4607999999999994,45.506
F,MYN,L*H,% (*) L*H L%,L%,49,210,-0.9024000000000023,0.627199999999998,-2.310400000000004,1.5296000000000003,-2.937600000000002,30.632
F,MYN,L*H,% (*) L*H L%,L%,78,203,-0.9216000000000031,1.2319999999999982,-2.2336000000000014,2.1536000000000013,-3.4655999999999993,55.778
F,MYN,L*H,% (*) L*H L%,L%,77,210,-1.0976000000000021,0.6751999999999998,-2.5184000000000015,1.772800000000002,-3.1936000000000013,41.452
