mode,acc_phon,gender
MYN,>H*,M
MYN,>H*,M
MYN,L*^[H],M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MYN,L*H,M
MDQ,^[L*]H,M
MDQ,^[L*]H,M
MDQ,^[L*]H,M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,^[L*H],M
MDQ,>H*,M
MDQ,L*^[H],M
MDQ,L*^[H],M
MDQ,L*^[H],M
MDQ,L*^[H],M
MDQ,L*^[H],M
MDQ,L*H,M
MDQ,L*H,M
