code,speaker,gender,stim,rep,sent,metre_ID,stim_metre,tot_syls,ana_syls,tot_feet,cur_foot,foot_syls,wrd_end_syl,acc_phon,phr_phon,init_phon,fin_phon,v_text,phr_end_t,ana_end_t,foot_strt_t,foot_end_t,stress_end_t,wrd_fin_syl_strt_t,wrd_end_t,v_onset_t,v_offset_t,strt_t,end_t,l_t,h_t,l_syl_strt_t,l_syl_end_t,h_syl_strt_t,h_syl_end_t,v_sylNormT,l_sylNormT,h_sylNormT,v_syl,l_syl,h_syl,v_syl_ratio,l_syl_ratio,h_syl_ratio,s_f0,e_f0,v_onset_f0,l_f0,h_f0,slope_st,intercept_st,mean_st,med_st,location
F5_A0321_s1,F5,F,A0321,s1,VAL'S is inVALid,032,A0321_032,5,0,2,2,2,2,L*H,%H L*H L*H %,%H,%,V2,953,0,510,953,747,747,953,547,680,29,828,710,826,510,747,747,953,617,777,891,4,4,5,0.16,0.84,0.38,92.06,92.89,90.38,90.38,90.38,56.833,-1.419,90.29,90.33,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0321_s2,F5,F,A0321,s2,VAL'S is inVALid,032,A0321_032,5,0,2,1,3,1,(*),%H (*) L*H %,%H,%,V1,914,0,0,506,257,0.5,257,37,145,37,799,429,194,375,506,0,257,49,513,255,1,3,1,0.14,0.41,0.75,91.34,95.37,91.34,88.79,88.79,-1.619,91.354,90.08,90.14,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0321_s2,F5,F,A0321,s2,VAL'S is inVALid,032,A0321_032,5,0,2,2,2,2,L*H,%H (*) L*H %,%H,%,V2,914,0,506,914,721,721,914,535,658,37,799,677,796,506,721,721,914,612,766,892,4,4,5,0.13,0.80,0.39,91.34,95.37,88.79,88.79,88.79,88.514,-15.991,90.95,91.09,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0321_s3,F5,F,A0321,s3,VAL'S is inVALid,032,A0321_032,5,0,2,1,3,1,L*H,% L*H L*H %,%,%,V1,970,0,0,531,299,0.3,299,47,194,48,826,155,470,0,299,428,531,53,175,512,1,1,3,0.16,0.52,0.41,90.54,94.12,90.54,90.15,90.15,12.955,83.878,90.67,91.47,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0321_s3,F5,F,A0321,s3,VAL'S is inVALid,032,A0321_032,5,0,2,2,2,2,L*H,% L*H L*H %,%,%,V2,970,0,531,970,757,757,970,560,687,48,826,696,824,531,757,757,970,610,751,878,4,4,5,0.13,0.73,0.31,90.54,94.12,90.15,90.15,90.15,57.578,34.547,90.40,90.03,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0321_s4,F5,F,A0321,s4,VAL'S is inVALid,032,A0321_032,5,0,2,1,3,1,L*H,% L*H L*H %,%,%,V1,967,0,0,530,276,0.3,276,35,152,35,841,101,471,0,276,415,530,43,124,522,1,1,3,0.13,0.37,0.49,89.19,92.81,89.19,89.19,89.19,6.881,84.75,90.24,90.35,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0321_s4,F5,F,A0321,s4,VAL'S is inVALid,032,A0321_032,5,0,2,2,2,2,L*H,% L*H L*H %,%,%,V2,967,0,530,967,780,780,967,560,708,35,841,720,841,530,780,780,967,608,758,880,4,4,5,0.12,0.76,0.33,89.19,92.81,89.19,89.19,89.19,69.632,-0.646,89.56,89.86,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0321_s5,F5,F,A0321,s5,VAL'S is inVALid,032,A0321_032,5,0,2,1,3,1,L*H,%H L*H L*H %,%H,%,V1,972,0,0,548,321,-0.5,321,58,184,69,865,190,480,0,321,434,548,61,200,512,1,1,3,0.18,0.59,0.40,90.53,91.94,90.58,90.15,90.15,15.705,78.234,89.97,90.20,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0321_s5,F5,F,A0321,s5,VAL'S is inVALid,032,A0321_032,5,0,2,2,2,2,L*H,%H L*H L*H %,%H,%,V2,972,0,548,972,798,798,972,584,725,69,865,740,852,548,798,798,972,614,760,877,4,4,5,0.14,0.77,0.31,90.53,91.94,90.15,90.15,90.15,67.276,7.762,89.15,89.23,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0423_2,F5,F,A0423,2,VALerie's is VALid.,042,A0423_042,6,0,2,1,4,3,L*H,% L*H L*H %,%,%,V1,869,0,0,509,189,231,406,28,145,28,803,147,332,0,189,231,406,31,163,377,1,1,3,0.15,0.78,0.58,93.61,95.45,93.61,91.55,91.55,18.92,83.409,93.89,93.90,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
