code,speaker,gender,stim,rep,sent,metre_ID,stim_metre,ana_text,nuc_pre_text,ana_has_word_end,nuc_is_new_word,tot_syls,ana_syls,tot_feet,cur_foot,foot_syls,wrd_end_syl,acc_phon,phr_phon,init_phon,fin_phon,v_text,phr_end_t,ana_end_t,foot_start_t,foot_end_t,stress_end_t,wrd_fin_syl_start_t,wrd_end_t,v_onset_t,v_offset_t,s_t,e_t,l_t,h_t,l_syl_start_t,l_syl_end_t,h_syl_start_t,h_syl_end_t,v_grand_mean_t,l_grand_mean_t,h_grand_mean_t,s_grand_mean_t,e_grand_mean_t,v_syl,l_syl,h_syl,l_syl_ratio,h_syl_ratio,s_f0,e_f0,v_onset_f0,l_f0,h_f0,lh_slope,lh_slope_z,lh_mean_f0,lh_med_f0,utt_mean_f0,utt_slope,utt_slope_z,spkr_f0_mean,spkr_f0_SD,location
F5_A0321_s1,F5,F,A0321,s1,VAL'S is inVALid,032,A0321_032,NA,is in-,0,0,5,0,2,1,3,1,L*H,%H L*H L*H %,%H,%,V1,953,0,0,510,282,-0.1,282,29,156,29,828,179,430,0,282,402,510,35,215,496,35,893,1,1,3,0.63,0.26,92.06,92.89,92.06,89.75,91.99,10.539,4.983,91.30,91.81,90.53,-1.601,-0.757,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0321_s1,F5,F,A0321,s1,VAL'S is inVALid,032,A0321_032,NA,is in-,0,0,5,0,2,2,2,2,L*H,%H L*H L*H %,%H,%,V2,953,0,510,953,747,747,953,547,680,29,828,710,826,510,747,747,953,617,777,891,35,893,4,4,5,0.84,0.38,92.06,92.89,90.38,87.53,92.89,56.833,26.872,90.29,90.33,90.53,-1.601,-0.757,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0321_s2,F5,F,A0321,s2,VAL'S is inVALid,032,A0321_032,NA,is in-,0,0,5,0,2,1,3,1,(*),%H (*) L*H %,%H,%,V1,914,0,0,506,257,0.5,257,37,145,37,799,429,194,375,506,0,257,49,513,255,49,896,1,3,1,0.41,0.75,91.34,95.37,91.34,89.80,90.15,-1.619,-0.765,90.08,90.14,89.77,-1.557,-0.736,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0321_s2,F5,F,A0321,s2,VAL'S is inVALid,032,A0321_032,NA,is in-,0,0,5,0,2,2,2,2,L*H,%H (*) L*H %,%H,%,V2,914,0,506,914,721,721,914,535,658,37,799,677,796,506,721,721,914,612,766,892,49,896,4,4,5,0.80,0.39,91.34,95.37,88.79,86.46,95.34,88.514,41.851,90.95,91.09,89.77,-1.557,-0.736,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0321_s3,F5,F,A0321,s3,VAL'S is inVALid,032,A0321_032,NA,is in-,0,0,5,0,2,1,3,1,L*H,% L*H L*H %,%,%,V1,970,0,0,531,299,0.3,299,47,194,48,826,155,470,0,299,428,531,53,175,512,54,879,1,1,3,0.52,0.41,90.54,94.12,90.54,88.39,92.07,12.955,6.125,90.67,91.47,90.16,1.083,0.512,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0321_s3,F5,F,A0321,s3,VAL'S is inVALid,032,A0321_032,NA,is in-,0,0,5,0,2,2,2,2,L*H,% L*H L*H %,%,%,V2,970,0,531,970,757,757,970,560,687,48,826,696,824,531,757,757,970,610,751,878,54,879,4,4,5,0.73,0.31,90.54,94.12,90.15,87.85,94.09,57.578,27.224,90.40,90.03,90.16,1.083,0.512,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0321_s4,F5,F,A0321,s4,VAL'S is inVALid,032,A0321_032,NA,is in-,0,0,5,0,2,1,3,1,L*H,% L*H L*H %,%,%,V1,967,0,0,530,276,0.3,276,35,152,35,841,101,471,0,276,415,530,43,124,522,43,880,1,1,3,0.37,0.49,89.19,92.81,89.19,89.04,91.25,6.881,3.253,90.24,90.35,89.48,-1.501,-0.71,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0321_s4,F5,F,A0321,s4,VAL'S is inVALid,032,A0321_032,NA,is in-,0,0,5,0,2,2,2,2,L*H,% L*H L*H %,%,%,V2,967,0,530,967,780,780,967,560,708,35,841,720,841,530,780,780,967,608,758,880,43,880,4,4,5,0.76,0.33,89.19,92.81,89.19,85.77,92.81,69.632,32.923,89.56,89.86,89.48,-1.501,-0.71,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0321_s5,F5,F,A0321,s5,VAL'S is inVALid,032,A0321_032,NA,is in-,0,0,5,0,2,1,3,1,L*H,%H L*H L*H %,%H,%,V1,972,0,0,548,321,-0.5,321,58,184,69,865,190,480,0,321,434,548,61,200,512,73,892,1,1,3,0.59,0.40,90.53,91.94,90.58,87.96,92.14,15.705,7.425,89.97,90.20,89.61,-0.497,-0.235,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0321_s5,F5,F,A0321,s5,VAL'S is inVALid,032,A0321_032,NA,is in-,0,0,5,0,2,2,2,2,L*H,%H L*H L*H %,%H,%,V2,972,0,548,972,798,798,972,584,725,69,865,740,852,548,798,798,972,614,760,877,73,892,4,4,5,0.77,0.31,90.53,91.94,90.15,86.03,92.27,67.276,31.809,89.15,89.23,89.61,-0.497,-0.235,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
F5_A0423_2,F5,F,A0423,2,VALerie's is VALid.,042,A0423_042,NA,erie's is,0,1,6,0,2,1,4,3,L*H,% L*H L*H %,%,%,V1,869,0,0,509,189,231,406,28,145,28,803,147,332,0,189,231,406,31,163,377,31,944,1,1,3,0.78,0.58,93.61,95.45,93.61,92.29,95.38,18.92,8.946,93.89,93.90,92.77,-3.021,-1.429,90.676,2.115,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/alignment and H_Placement/
